"all_names","ETS","ITS","matK","trnDT","trnLF"
"C trichopoda",TRUE,TRUE,FALSE,TRUE,TRUE
"C ulmea",TRUE,TRUE,FALSE,TRUE,TRUE
"C unijuga",FALSE,TRUE,FALSE,FALSE,TRUE
"C urophyllidia",TRUE,TRUE,TRUE,TRUE,TRUE
"C ursina",TRUE,TRUE,TRUE,TRUE,TRUE
"C ustulata",TRUE,TRUE,TRUE,TRUE,TRUE
"C vauthieri",TRUE,TRUE,FALSE,TRUE,TRUE
"C venatoria",FALSE,TRUE,FALSE,FALSE,TRUE
"C venulosa",TRUE,TRUE,FALSE,TRUE,TRUE
"C verruculosa",TRUE,TRUE,FALSE,TRUE,TRUE
"C viscosa",TRUE,TRUE,TRUE,TRUE,TRUE
"C wittei",TRUE,FALSE,TRUE,TRUE,FALSE
"C xanthadena",TRUE,FALSE,TRUE,TRUE,FALSE
"C xinguensis",TRUE,TRUE,TRUE,TRUE,TRUE
"C zygophylloides",TRUE,TRUE,TRUE,TRUE,TRUE
"Cassia brewsteri",FALSE,FALSE,TRUE,TRUE,FALSE
"Cassia ferruginea",FALSE,FALSE,TRUE,FALSE,FALSE
"Cassia fistula",FALSE,TRUE,TRUE,FALSE,TRUE
"Cassia grandis",FALSE,TRUE,TRUE,FALSE,TRUE
"Cassia javanica",FALSE,TRUE,TRUE,TRUE,TRUE
"Cassia leptophylla",FALSE,FALSE,TRUE,FALSE,FALSE
"Cassia moschata",FALSE,FALSE,TRUE,FALSE,FALSE
"Melanoxylon brauna",TRUE,TRUE,FALSE,TRUE,TRUE
"Recordoxylon speciosum",FALSE,FALSE,TRUE,FALSE,TRUE
"Senna affinis",FALSE,FALSE,TRUE,FALSE,FALSE
"Senna alata",FALSE,TRUE,TRUE,TRUE,TRUE
"Senna armata",FALSE,TRUE,FALSE,FALSE,FALSE
"Senna aymara",FALSE,FALSE,TRUE,FALSE,FALSE
"Senna bauhinioides",FALSE,FALSE,FALSE,FALSE,TRUE
"Senna bicapsularis",FALSE,TRUE,FALSE,TRUE,TRUE
"Senna cana",FALSE,TRUE,TRUE,FALSE,TRUE
"Senna candolleana",FALSE,FALSE,TRUE,FALSE,TRUE
"Senna cearensis",FALSE,FALSE,TRUE,FALSE,FALSE
"Senna corifolia",FALSE,TRUE,FALSE,FALSE,TRUE
"Senna corymbosa",FALSE,TRUE,FALSE,FALSE,FALSE
"Senna covesii",FALSE,TRUE,TRUE,FALSE,TRUE
"Senna didymobotrya",FALSE,TRUE,FALSE,FALSE,FALSE
"Senna gardneri",TRUE,TRUE,FALSE,FALSE,TRUE
"Senna hirsuta",FALSE,TRUE,FALSE,FALSE,FALSE
"Senna italica",FALSE,FALSE,FALSE,FALSE,TRUE
"Senna kurtzii",FALSE,TRUE,FALSE,FALSE,FALSE
"Senna mollissima",FALSE,FALSE,TRUE,FALSE,FALSE
"Senna obliqua",FALSE,FALSE,TRUE,FALSE,FALSE
"Senna obtusifolia",FALSE,TRUE,FALSE,FALSE,FALSE
"Senna occidentalis",FALSE,TRUE,FALSE,TRUE,TRUE
"Senna organensis",FALSE,FALSE,TRUE,FALSE,FALSE
"Senna pallida",FALSE,TRUE,FALSE,FALSE,FALSE
"Senna pendula",TRUE,TRUE,FALSE,FALSE,TRUE
"Senna pleurocarpa",FALSE,FALSE,FALSE,FALSE,TRUE
"Senna polyphylla",FALSE,TRUE,FALSE,FALSE,FALSE
"Senna reniformis",FALSE,FALSE,TRUE,FALSE,FALSE
"Senna rugosa",FALSE,TRUE,FALSE,FALSE,TRUE
"Senna ruiziana",FALSE,FALSE,TRUE,FALSE,FALSE
"Senna siamea",FALSE,FALSE,FALSE,FALSE,TRUE
"Senna silvestris",TRUE,FALSE,FALSE,FALSE,FALSE
"Senna spectabilis",FALSE,TRUE,FALSE,TRUE,FALSE
"Senna surattensis",FALSE,TRUE,FALSE,FALSE,FALSE
"Senna tora",FALSE,TRUE,FALSE,FALSE,FALSE
"Senna trachypus",FALSE,FALSE,TRUE,FALSE,FALSE
"Senna uniflora",FALSE,TRUE,FALSE,FALSE,FALSE
"Senna wislizeni",FALSE,FALSE,FALSE,FALSE,TRUE
"Vouacapoua americana",TRUE,TRUE,TRUE,TRUE,FALSE
"Vouacapoua macropetala",FALSE,FALSE,TRUE,FALSE,TRUE
"Vouacapoua pallidior",FALSE,FALSE,TRUE,FALSE,FALSE
